"name","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank Economic Status","COVID-19 Diagnostic Testing Capacity","SARS-CoV-2 Sequencing Capacity","NGS Facility Access","Archetype"
"Northern Mariana Islands","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Norway","January 22, 2022","8.8 %","3.36 per 1000 persons","3.91 %","740.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Oman","May 28, 2021","Insufficient Data","0.13 per 1000 persons","0.11 %","5 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Pakistan","February 21, 2022","5.3 %","0.22 per 1000 persons","0.17 %","0.7 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Palau","No tests reported","Insufficient Data","Insufficient Data","0.06 %","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Palestine","February 03, 2022","19.1 %","1.11 per 1000 persons","0 %","0.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Panama","February 14, 2022","11.4 %","2.3 per 1000 persons","0.09 %","8.4 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Papua New Guinea","November 28, 2021","16.7 %","0.08 per 1000 persons","8.07 %","34.1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Test"
"Paraguay","February 20, 2022","26.7 %","0.7 per 1000 persons","0.19 %","12.9 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Peru","February 20, 2022","11.2 %","1.64 per 1000 persons","0.63 %","41.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Philippines","February 21, 2022","15.8 %","0.49 per 1000 persons","0.36 %","10 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Poland","February 14, 2022","16.4 %","1.69 per 1000 persons","1.63 %","164.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Portugal","February 21, 2022","8 %","7.94 per 1000 persons","0.98 %","227.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Puerto Rico","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Qatar","February 21, 2022","10.4 %","1.77 per 1000 persons","1.46 %","95.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Republic of the Congo","January 19, 2022","6.2 %","0.13 per 1000 persons","2.42 %","6.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Romania","February 21, 2022","12.7 %","2.1 per 1000 persons","0.47 %","45.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Russia","February 14, 2022","6.2 %","3.07 per 1000 persons","0.09 %","6.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Rwanda","February 21, 2022","3 %","0.79 per 1000 persons","0.35 %","2.9 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Saint Kitts and Nevis","September 20, 2021","6 %","2.4 per 1000 persons","1.3 %","132.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Saint Lucia","February 21, 2022","19 %","1.54 per 1000 persons","0.65 %","67.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Saint Vincent and the Grenadines","July 06, 2021","3.3 %","1.53 per 1000 persons","3 %","187.8 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Samoa","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"San Marino","January 17, 2022","9.5 %","6.81 per 1000 persons","0 %","0 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"São Tomé and Príncipe","February 08, 2022","18.6 %","0.3 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Saudi Arabia","February 21, 2022","1.4 %","2.11 per 1000 persons","0.03 %","0.3 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Senegal","February 21, 2022","8.5 %","0.1 per 1000 persons","4.29 %","13.1 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Serbia","February 21, 2022","24.9 %","1.82 per 1000 persons","0.02 %","4.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Seychelles","December 21, 2020","Insufficient Data","Insufficient Data","2 %","740.1 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Sierra Leone","February 18, 2022","1.9 %","0.07 per 1000 persons","0.53 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Singapore","September 20, 2021","0.2 %","9.61 per 1000 persons","2.38 %","206.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Sint Maarten (Dutch part)","No tests reported","Insufficient Data","Insufficient Data","Inf %","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Slovakia","September 20, 2021","0.7 %","33.92 per 1000 persons","1.43 %","365.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Slovenia","February 21, 2022","4.1 %","21.88 per 1000 persons","6.52 %","2142.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Solomon Islands","No tests reported","Insufficient Data","Insufficient Data","0.02 %","0.1 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Somalia","January 10, 2022","5.9 %","0.06 per 1000 persons","0.05 %","0.1 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"South Africa","February 21, 2022","15.4 %","0.65 per 1000 persons","1.01 %","35.9 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Test"
"South Korea","October 31, 2021","3 %","0.73 per 1000 persons","1.33 %","43.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"South Sudan","February 14, 2022","4.7 %","0.06 per 1000 persons","0.65 %","0.6 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Spain","November 15, 2021","6.4 %","2.5 per 1000 persons","1.07 %","174.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Sri Lanka","May 30, 2021","24.4 %","0.2 per 1000 persons","0.49 %","12.5 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Saint Martin","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Sudan","October 27, 2021","2.9 %","0.03 per 1000 persons","0.27 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Suriname","No tests reported","Insufficient Data","Insufficient Data","1.21 %","140.1 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Sweden","May 10, 2021","10.5 %","4.56 per 1000 persons","7.04 %","1237.6 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Switzerland","February 21, 2022","15.2 %","4.4 per 1000 persons","4.63 %","1105.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Syria","No tests reported","Insufficient Data","Insufficient Data","0.06 %","0.1 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Taiwan","February 21, 2022","0.2 %","1.25 per 1000 persons","0.41 %","0.3 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Tajikistan","March 30, 2020","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Tanzania","February 15, 2022","9.8 %","0.02 per 1000 persons","0.01 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Thailand","May 22, 2021","2.9 %","0.54 per 1000 persons","0.48 %","18.3 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"The Bahamas","February 20, 2022","15.8 %","1.09 per 1000 persons","0.43 %","26.5 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"The Gambia","February 18, 2022","7.4 %","0.12 per 1000 persons","8.22 %","24.4 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Togo","February 21, 2022","6.7 %","0.15 per 1000 persons","0.72 %","2.6 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Tonga","No tests reported","Insufficient Data","Insufficient Data","0 %","Insufficient Data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Trinidad and Tobago","July 02, 2021","18.1 %","0.75 per 1000 persons","1.96 %","159.6 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Tunisia","February 21, 2022","22.7 %","0.77 per 1000 persons","0.03 %","1.7 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Turkey","September 24, 2021","8.4 %","2.84 per 1000 persons","0.78 %","97.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Turkmenistan","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Turks and Caicos Islands","No tests reported","Insufficient Data","Insufficient Data","1.39 %","135.1 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Tuvalu","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Uganda","February 21, 2022","7.8 %","0.09 per 1000 persons","0.47 %","1.2 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Ukraine","February 18, 2022","28 %","0.79 per 1000 persons","0.01 %","1.1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Test"
"United Arab Emirates","February 21, 2022","0.5 %","28.97 per 1000 persons","0 %","0.2 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"United Kingdom","February 15, 2022","3.8 %","15.59 per 1000 persons","12.5 %","2488.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"United States of America","February 21, 2022","9.6 %","4.32 per 1000 persons","4.53 %","680.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Uruguay","February 21, 2022","16.3 %","3.65 per 1000 persons","0.05 %","11 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Uzbekistan","July 14, 2020","Insufficient Data","Insufficient Data","0.04 %","0.2 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Vanuatu","No tests reported","Insufficient Data","Insufficient Data","16.67 %","0.3 per 100k persons","Lower middle income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Venezuela","May 30, 2021","27.1 %","0.13 per 1000 persons","0.04 %","0.5 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Vietnam","May 08, 2021","0.2 %","0.07 per 1000 persons","0.09 %","2.4 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"U.S. Virgin Islands","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Yemen","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Zambia","February 21, 2022","10.8 %","0.33 per 1000 persons","0.16 %","2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Zimbabwe","February 21, 2022","11.7 %","0.31 per 1000 persons","0.19 %","2.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"British Indian Ocean Territory","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Cook Islands","No tests reported","Insufficient Data","Insufficient Data","0 %","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Falkland Islands","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"French Southern and Antarctic Lands","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Guernsey","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Heard Island and McDonald Islands","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Jersey","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Montserrat","No tests reported","Insufficient Data","Insufficient Data","8.39 %","240.9 per 100k persons",NaN,"Insufficient data","Has demonstrated sequencing capacity",NaN,"Insufficient Data"
"Niue","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Norfolk Island","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Pitcairn Islands","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Saint Helena","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","0 per 100k persons",NaN,"Insufficient data",NaN,NaN,"Insufficient Data"
"Saint Pierre and Miquelon","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Saint-Barthélemy","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"South Georgia and the South Sandwich Islands","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Wallis and Futuna","No tests reported","Insufficient Data","Insufficient Data","2.25 %","90.1 per 100k persons",NaN,"Insufficient data","Has demonstrated sequencing capacity",NaN,"Insufficient Data"
"Anguilla","No tests reported","Insufficient Data","Insufficient Data","2.65 %","436.4 per 100k persons",NaN,"Insufficient data","Has demonstrated sequencing capacity",NaN,"Insufficient Data"
"Vatican City","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Western Sahara","October 13, 2021","0 %","0.03 per 1000 persons","Insufficient Data","Insufficient Data",NaN,"Insufficient data","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
