"Country","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cumulative number of sequences entire pandemic","World Bank economic status","COVID-19 diagnostic testing capacity","Test recommendation","SARS-CoV-2 sequencing capacity","NGS facility access","Archetype"
"Mauritius","September 01, 2021","54.8 %","0.08 per 1,000 persons","1.26 %","69.3 per 100k persons",918,"High income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Mexico","February 28, 2022","35.3 %","0.21 per 1,000 persons","1.42 %","37.2 per 100k persons",54492,"Upper middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Micronesia","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Lower middle income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Moldova","June 13, 2021","15.7 %","1.09 per 1,000 persons","0.06 %","5 per 100k persons",224,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Monaco","No tests reported","Insufficient data","Insufficient data","1.05 %","197.4 per 100k persons",85,"High income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Mongolia","No tests reported","Insufficient data","Insufficient data","0.07 %","19.5 per 100k persons",728,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Montenegro","June 21, 2021","19.1 %","1.86 per 1,000 persons","0.39 %","95.7 per 100k persons",632,"Upper middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Morocco","February 28, 2022","11.6 %","0.43 per 1,000 persons","0.06 %","1 per 100k persons",581,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Mozambique","February 26, 2022","19.6 %","0.07 per 1,000 persons","0.4 %","2 per 100k persons",1048,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Myanmar","February 28, 2022","9.6 %","0.23 per 1,000 persons","0.01 %","0.1 per 100k persons",67,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Namibia","February 28, 2022","18.2 %","0.7 per 1,000 persons","0.25 %","11.5 per 100k persons",298,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Nauru","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"High income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Nepal","February 28, 2022","21.6 %","0.31 per 1,000 persons","0.21 %","5 per 100k persons",1500,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Netherlands","January 25, 2022","15.7 %","3.4 per 1,000 persons","1.59 %","497.9 per 100k persons",101318,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"New Caledonia","September 07, 2021","No cases reported","0.37 per 1,000 persons","0 %","0 per 100k persons",0,"High income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"New Zealand","February 28, 2022","1.4 %","2.81 per 1,000 persons","5.79 %","131.6 per 100k persons",7703,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Nicaragua","No tests reported","Insufficient data","Insufficient data","3.4 %","5.9 per 100k persons",564,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Niger","February 28, 2022","2.7 %","0.02 per 1,000 persons","1.72 %","0.3 per 100k persons",132,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Nigeria","February 24, 2022","3.5 %","0.04 per 1,000 persons","3.8 %","1.8 per 100k persons",4876,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"North Korea","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Low income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"North Macedonia","February 24, 2022","14.5 %","1.77 per 1,000 persons","0.22 %","20.4 per 100k persons",827,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Northern Mariana Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"High income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Norway","January 22, 2022","8.9 %","3.37 per 1,000 persons","3.61 %","773.3 per 100k persons",49464,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Oman","May 28, 2021","Insufficient data","0.13 per 1,000 persons","0.12 %","5.6 per 100k persons",564,"High income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Pakistan","February 28, 2022","5.3 %","0.22 per 1,000 persons","0.17 %","0.7 per 100k persons",1718,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Palau","No tests reported","Insufficient data","Insufficient data","0.32 %","Insufficient data",12,"High income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Palestine","February 03, 2022","19.1 %","1.1 per 1,000 persons","0 %","0.4 per 100k persons",128,"Lower middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Panama","February 27, 2022","11.5 %","2.3 per 1,000 persons","0.09 %","8.2 per 100k persons",1204,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Papua New Guinea","November 28, 2021","16.6 %","0.08 per 1,000 persons","7.64 %","33.5 per 100k persons",3344,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Paraguay","February 26, 2022","26.7 %","0.69 per 1,000 persons","0.19 %","12.7 per 100k persons",1199,"Upper middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Peru","February 26, 2022","11.1 %","1.65 per 1,000 persons","0.67 %","44.3 per 100k persons",16656,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Philippines","February 28, 2022","15.9 %","0.49 per 1,000 persons","0.36 %","9.9 per 100k persons",14228,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Poland","February 28, 2022","16.6 %","1.72 per 1,000 persons","1.74 %","182.2 per 100k persons",71547,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Portugal","February 28, 2022","8.1 %","8.05 per 1,000 persons","0.98 %","237.4 per 100k persons",28859,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Puerto Rico","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"High income","Insufficient testing data","Insufficient testing data","Insufficient data","Has access to sequencing facilities","Insufficient data"
"Qatar","February 28, 2022","10.5 %","1.76 per 1,000 persons","1.53 %","100.8 per 100k persons",4835,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Republic of the Congo","January 19, 2022","5.9 %","0.13 per 1,000 persons","2.74 %","7.4 per 100k persons",532,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Romania","February 28, 2022","12.8 %","2.13 per 1,000 persons","0.5 %","50.6 per 100k persons",11478,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Russia","February 28, 2022","7.1 %","3.1 per 1,000 persons","0.08 %","6.4 per 100k persons",14103,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Rwanda","February 28, 2022","2.9 %","0.8 per 1,000 persons","0.4 %","3.4 per 100k persons",760,"Low income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Saint Kitts and Nevis","September 20, 2021","10.2 %","2.77 per 1,000 persons","1.29 %","132.6 per 100k persons",74,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Saint Lucia","February 28, 2022","18.6 %","1.55 per 1,000 persons","0.64 %","67.2 per 100k persons",142,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Saint Vincent and the Grenadines","July 06, 2021","3.3 %","1.49 per 1,000 persons","3.09 %","187.8 per 100k persons",217,"Upper middle income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Samoa","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Upper middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"San Marino","January 17, 2022","11.8 %","7.32 per 1,000 persons","0 %","0 per 100k persons",0,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"São Tomé and Príncipe","February 24, 2022","17.7 %","0.3 per 1,000 persons","0.24 %","4.5 per 100k persons",10,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Saudi Arabia","February 28, 2022","1.4 %","2.13 per 1,000 persons","0.03 %","0.3 per 100k persons",1190,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Senegal","February 28, 2022","8.3 %","0.1 per 1,000 persons","4.39 %","13 per 100k persons",3430,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Serbia","February 28, 2022","25 %","1.82 per 1,000 persons","0.02 %","4.5 per 100k persons",700,"Upper middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Seychelles","December 21, 2020","Insufficient data","Insufficient data","1.99 %","740.1 per 100k persons",744,"High income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Sierra Leone","February 18, 2022","1.6 %","0.08 per 1,000 persons","0.53 %","0.2 per 100k persons",56,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Singapore","September 20, 2021","0.2 %","9.7 per 1,000 persons","1.75 %","213.6 per 100k persons",13511,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Sint Maarten (Dutch part)","No tests reported","Insufficient data","Insufficient data","Inf %","Insufficient data",2207,"High income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Slovakia","September 20, 2021","3.2 %","23.63 per 1,000 persons","1.33 %","374.5 per 100k persons",21004,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Slovenia","February 28, 2022","4.2 %","22.13 per 1,000 persons","6.53 %","2205.4 per 100k persons",55725,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Solomon Islands","No tests reported","Insufficient data","Insufficient data","0.01 %","0.1 per 100k persons",6,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Somalia","January 10, 2022","5.6 %","0.06 per 1,000 persons","0.01 %","0 per 100k persons",35,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"South Africa","February 28, 2022","15.4 %","0.65 per 1,000 persons","1.07 %","38.2 per 100k persons",31531,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"South Korea","October 31, 2021","3 %","0.73 per 1,000 persons","0.74 %","46.1 per 100k persons",26818,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"South Sudan","February 14, 2022","4.1 %","0.06 per 1,000 persons","0.73 %","0.6 per 100k persons",88,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Spain","November 15, 2021","6.5 %","2.46 per 1,000 persons","1.06 %","177 per 100k persons",104060,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Sri Lanka","February 28, 2022","10.5 %","0.69 per 1,000 persons","0.5 %","13.2 per 100k persons",3093,"Lower middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Saint Martin","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"High income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Sudan","October 27, 2021","3 %","0.03 per 1,000 persons","0.26 %","0.2 per 100k persons",108,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Suriname","No tests reported","Insufficient data","Insufficient data","1.17 %","136.9 per 100k persons",1012,"Upper middle income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Sweden","May 10, 2021","10.7 %","4.57 per 1,000 persons","6.84 %","1201.5 per 100k persons",147592,"High income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Switzerland","February 28, 2022","15.7 %","4.44 per 1,000 persons","4.42 %","1139.5 per 100k persons",125365,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Syria","No tests reported","Insufficient data","Insufficient data","0.14 %","0.3 per 100k persons",54,"Low income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Taiwan","February 27, 2022","0.2 %","1.28 per 1,000 persons","0.4 %","0.3 per 100k persons",265,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Tajikistan","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Low income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Tanzania","February 15, 2022","9.8 %","0.02 per 1,000 persons","0.01 %","0 per 100k persons",2,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Thailand","May 22, 2021","3 %","0.56 per 1,000 persons","0.49 %","20 per 100k persons",14789,"Upper middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"The Bahamas","February 28, 2022","15.7 %","1.1 per 1,000 persons","0.43 %","26.5 per 100k persons",133,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"The Gambia","February 18, 2022","7.4 %","0.11 per 1,000 persons","8.66 %","25.2 per 100k persons",1079,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Togo","February 28, 2022","6.6 %","0.15 per 1,000 persons","0.72 %","2.5 per 100k persons",354,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Tonga","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Upper middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Trinidad and Tobago","July 02, 2021","18.5 %","0.77 per 1,000 persons","1.88 %","161.3 per 100k persons",2344,"High income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Tunisia","February 28, 2022","22.8 %","0.78 per 1,000 persons","0.06 %","4.1 per 100k persons",670,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Turkey","September 24, 2021","10.7 %","3.4 per 1,000 persons","0.74 %","98.5 per 100k persons",86791,"Upper middle income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Turkmenistan","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Upper middle income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Turks and Caicos Islands","No tests reported","Insufficient data","Insufficient data","1.41 %","135.1 per 100k persons",55,"High income","Insufficient testing data","Insufficient testing data","Meets sequencing target","Does not have access to sequencing facilities","Sustain"
"Tuvalu","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Upper middle income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Uganda","February 28, 2022","7.8 %","0.09 per 1,000 persons","0.47 %","1.2 per 100k persons",947,"Low income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Ukraine","February 18, 2022","28.1 %","0.8 per 1,000 persons","0.01 %","1.1 per 100k persons",669,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"United Arab Emirates","February 28, 2022","0.5 %","29.45 per 1,000 persons","0 %","0.2 per 100k persons",2621,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"United Kingdom","February 15, 2022","3.8 %","15.57 per 1,000 persons","13.44 %","2741 per 100k persons",2177069,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"United States of America","February 28, 2022","9.7 %","4.29 per 1,000 persons","4.78 %","722.4 per 100k persons",2748726,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Meets sequencing target","Has access to sequencing facilities","Sustain"
"Uruguay","February 28, 2022","16.6 %","3.7 per 1,000 persons","0.04 %","9.5 per 100k persons",742,"High income","Meets testing target","Sustain - Sustain diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Uzbekistan","July 14, 2020","Insufficient data","Insufficient data","0.04 %","0.2 per 100k persons",74,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Vanuatu","No tests reported","Insufficient data","Insufficient data","5.56 %","0.3 per 100k persons",2,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Venezuela","May 30, 2021","31.1 %","0.11 per 1,000 persons","0.06 %","0.8 per 100k persons",253,"Upper middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Vietnam","May 08, 2021","0.2 %","0.06 per 1,000 persons","0.08 %","2.7 per 100k persons",2722,"Lower middle income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"U.S. Virgin Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"High income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Yemen","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Low income","Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"Zambia","February 28, 2022","10.7 %","0.33 per 1,000 persons","0.24 %","3 per 100k persons",1129,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Has access to sequencing facilities","Strengthen/Leverage"
"Zimbabwe","February 28, 2022","11.8 %","0.31 per 1,000 persons","0.19 %","2.5 per 100k persons",927,"Lower middle income","Does not meet testing target","Test - Increase diagnostic testing capacity","Does not meet sequencing target","Does not have access to sequencing facilities","Connect/Build"
"British Indian Ocean Territory","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Cook Islands","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,NaN,"Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Insufficient data","Connect/Build"
"Falkland Islands","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,NaN,"Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Insufficient data","Connect/Build"
"French Southern and Antarctic Lands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Guernsey","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Heard Island and McDonald Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Jersey","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Montserrat","No tests reported","Insufficient data","Insufficient data","9.72 %","281.1 per 100k persons",18,NaN,"Insufficient testing data","Insufficient testing data","Meets sequencing target","Insufficient data","Sustain"
"Niue","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Norfolk Island","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Pitcairn Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Saint Helena","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Saint Pierre and Miquelon","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,NaN,"Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Insufficient data","Connect/Build"
"Saint-Barthélemy","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"South Georgia and the South Sandwich Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Wallis and Futuna","No tests reported","Insufficient data","Insufficient data","2.25 %","90.1 per 100k persons",10,NaN,"Insufficient testing data","Insufficient testing data","Meets sequencing target","Insufficient data","Sustain"
"Anguilla","No tests reported","Insufficient data","Insufficient data","2.68 %","449.6 per 100k persons",68,NaN,"Insufficient testing data","Insufficient testing data","Meets sequencing target","Insufficient data","Sustain"
"Vatican City","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,NaN,"Insufficient testing data","Insufficient testing data","Does not meet sequencing target","Insufficient data","Connect/Build"
"Western Sahara","October 13, 2021","No cases reported","0.03 per 1,000 persons","Insufficient data","Insufficient data",NaN,NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
