"Country","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank economic status","COVID-19 diagnostic testing capacity","Test recommendation","SARS-CoV-2 sequencing capacity","NGS facility access","Archetype"
"Maldives","November 09, 2021","6 %","8.36 per 1,000 persons","0.75 %","207.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Mali","February 28, 2022","5.1 %","0.06 per 1,000 persons","0.18 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Malta","September 06, 2021","2.8 %","6.14 per 1,000 persons","1.8 %","170.1 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Marshall Islands","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Mauritania","February 28, 2022","6.2 %","0.39 per 1,000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Mauritius","September 01, 2021","54.8 %","0.08 per 1,000 persons","1.26 %","69.3 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Mexico","February 28, 2022","35.3 %","0.21 per 1,000 persons","1.42 %","37.2 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Micronesia","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Moldova","June 13, 2021","15.7 %","1.09 per 1,000 persons","0.06 %","5 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Monaco","No tests reported","Insufficient data","Insufficient data","1.05 %","197.4 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Mongolia","No tests reported","Insufficient data","Insufficient data","0.07 %","19.5 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Montenegro","June 21, 2021","19.1 %","1.86 per 1,000 persons","0.39 %","95.7 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Morocco","February 28, 2022","11.6 %","0.43 per 1,000 persons","0.06 %","1 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Mozambique","February 26, 2022","19.6 %","0.07 per 1,000 persons","0.4 %","2 per 100k persons","Low income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Myanmar","February 28, 2022","9.6 %","0.23 per 1,000 persons","0.01 %","0.1 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Namibia","February 28, 2022","18.2 %","0.7 per 1,000 persons","0.25 %","11.5 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Nauru","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Nepal","February 28, 2022","21.6 %","0.31 per 1,000 persons","0.21 %","5 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Netherlands","January 25, 2022","15.7 %","3.4 per 1,000 persons","1.59 %","497.9 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"New Caledonia","September 07, 2021","No cases reported","0.37 per 1,000 persons","0 %","0 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"New Zealand","February 28, 2022","1.4 %","2.81 per 1,000 persons","5.79 %","131.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Nicaragua","No tests reported","Insufficient data","Insufficient data","3.4 %","5.9 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Niger","February 28, 2022","2.7 %","0.02 per 1,000 persons","1.72 %","0.3 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Nigeria","February 24, 2022","3.5 %","0.04 per 1,000 persons","3.8 %","1.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"North Korea","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Low income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"North Macedonia","February 24, 2022","14.5 %","1.77 per 1,000 persons","0.22 %","20.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Northern Mariana Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Norway","January 22, 2022","8.9 %","3.37 per 1,000 persons","3.61 %","773.3 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Oman","May 28, 2021","Insufficient data","0.13 per 1,000 persons","0.12 %","5.6 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Pakistan","February 28, 2022","5.3 %","0.22 per 1,000 persons","0.17 %","0.7 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Palau","No tests reported","Insufficient data","Insufficient data","0.32 %","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Palestine","February 03, 2022","19.1 %","1.1 per 1,000 persons","0 %","0.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Panama","February 27, 2022","11.5 %","2.3 per 1,000 persons","0.09 %","8.2 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Papua New Guinea","November 28, 2021","16.6 %","0.08 per 1,000 persons","7.64 %","33.5 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Paraguay","February 26, 2022","26.7 %","0.69 per 1,000 persons","0.19 %","12.7 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Peru","February 26, 2022","11.1 %","1.65 per 1,000 persons","0.67 %","44.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Philippines","February 28, 2022","15.9 %","0.49 per 1,000 persons","0.36 %","9.9 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Poland","February 28, 2022","16.6 %","1.72 per 1,000 persons","1.74 %","182.2 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Portugal","February 28, 2022","8.1 %","8.05 per 1,000 persons","0.98 %","237.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Puerto Rico","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Qatar","February 28, 2022","10.5 %","1.76 per 1,000 persons","1.53 %","100.8 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Republic of the Congo","January 19, 2022","6.2 %","0.13 per 1,000 persons","2.74 %","7.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Romania","February 28, 2022","12.8 %","2.13 per 1,000 persons","0.5 %","50.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Russia","February 28, 2022","7.1 %","3.1 per 1,000 persons","0.08 %","6.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Rwanda","February 28, 2022","2.9 %","0.8 per 1,000 persons","0.4 %","3.4 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Saint Kitts and Nevis","September 20, 2021","6 %","2.46 per 1,000 persons","1.29 %","132.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Saint Lucia","February 28, 2022","18.6 %","1.55 per 1,000 persons","0.64 %","67.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Saint Vincent and the Grenadines","July 06, 2021","3.3 %","1.49 per 1,000 persons","3.09 %","187.8 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Samoa","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"San Marino","January 17, 2022","9.5 %","6.75 per 1,000 persons","0 %","0 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"São Tomé and Príncipe","February 24, 2022","17.7 %","0.3 per 1,000 persons","0.24 %","4.5 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Saudi Arabia","February 28, 2022","1.4 %","2.13 per 1,000 persons","0.03 %","0.3 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Senegal","February 28, 2022","8.3 %","0.1 per 1,000 persons","4.39 %","13 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Serbia","February 28, 2022","25 %","1.82 per 1,000 persons","0.02 %","4.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Seychelles","December 21, 2020","Insufficient data","Insufficient data","1.99 %","740.1 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Sierra Leone","February 18, 2022","1.6 %","0.08 per 1,000 persons","0.53 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Singapore","September 20, 2021","0.2 %","9.7 per 1,000 persons","1.75 %","213.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Sint Maarten (Dutch part)","No tests reported","Insufficient data","Insufficient data","Inf %","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Slovakia","September 20, 2021","0.6 %","35 per 1,000 persons","1.33 %","374.5 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Slovenia","February 28, 2022","4.2 %","22.13 per 1,000 persons","6.53 %","2205.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Solomon Islands","No tests reported","Insufficient data","Insufficient data","0.01 %","0.1 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Somalia","January 10, 2022","5.6 %","0.06 per 1,000 persons","0.01 %","0 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"South Africa","February 28, 2022","15.4 %","0.65 per 1,000 persons","1.07 %","38.2 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"South Korea","October 31, 2021","3 %","0.73 per 1,000 persons","0.74 %","46.1 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"South Sudan","February 14, 2022","4.1 %","0.06 per 1,000 persons","0.73 %","0.6 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Spain","November 15, 2021","6.5 %","2.46 per 1,000 persons","1.06 %","177 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Sri Lanka","May 30, 2021","30.1 %","0.17 per 1,000 persons","0.5 %","13.2 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Saint Martin","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Sudan","October 27, 2021","3 %","0.03 per 1,000 persons","0.26 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Suriname","No tests reported","Insufficient data","Insufficient data","1.17 %","136.9 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Sweden","May 10, 2021","10.7 %","4.57 per 1,000 persons","6.84 %","1201.5 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Switzerland","February 28, 2022","15.7 %","4.44 per 1,000 persons","4.42 %","1139.5 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Syria","No tests reported","Insufficient data","Insufficient data","0.14 %","0.3 per 100k persons","Low income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Taiwan","February 27, 2022","0.2 %","1.28 per 1,000 persons","0.4 %","0.3 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Tajikistan","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons","Low income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Tanzania","February 15, 2022","9.8 %","0.02 per 1,000 persons","0.01 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Thailand","May 22, 2021","3 %","0.56 per 1,000 persons","0.49 %","20 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"The Bahamas","February 28, 2022","15.7 %","1.1 per 1,000 persons","0.43 %","26.5 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"The Gambia","February 18, 2022","7.4 %","0.11 per 1,000 persons","8.66 %","25.2 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Togo","February 28, 2022","6.6 %","0.15 per 1,000 persons","0.72 %","2.5 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Tonga","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Trinidad and Tobago","July 02, 2021","18.5 %","0.77 per 1,000 persons","1.88 %","161.3 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Tunisia","February 28, 2022","22.8 %","0.78 per 1,000 persons","0.06 %","4.1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Turkey","September 24, 2021","8.4 %","2.89 per 1,000 persons","0.74 %","98.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Turkmenistan","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Turks and Caicos Islands","No tests reported","Insufficient data","Insufficient data","1.41 %","135.1 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Tuvalu","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Uganda","February 28, 2022","7.8 %","0.09 per 1,000 persons","0.47 %","1.2 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Ukraine","February 18, 2022","28.1 %","0.8 per 1,000 persons","0.01 %","1.1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"United Arab Emirates","February 28, 2022","0.5 %","29.45 per 1,000 persons","0 %","0.2 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"United Kingdom","February 15, 2022","3.8 %","15.7 per 1,000 persons","13.44 %","2741 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"United States of America","February 28, 2022","9.7 %","4.28 per 1,000 persons","4.78 %","722.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Uruguay","February 28, 2022","16.6 %","3.7 per 1,000 persons","0.04 %","9.5 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Uzbekistan","July 14, 2020","Insufficient data","Insufficient data","0.04 %","0.2 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Vanuatu","No tests reported","Insufficient data","Insufficient data","5.56 %","0.3 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Venezuela","May 30, 2021","31.1 %","0.11 per 1,000 persons","0.06 %","0.8 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Vietnam","May 08, 2021","0.2 %","0.06 per 1,000 persons","0.08 %","2.7 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"U.S. Virgin Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Yemen","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","Low income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Zambia","February 28, 2022","10.7 %","0.33 per 1,000 persons","0.24 %","3 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Zimbabwe","February 28, 2022","11.8 %","0.31 per 1,000 persons","0.19 %","2.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"British Indian Ocean Territory","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Cook Islands","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Falkland Islands","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"French Southern and Antarctic Lands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Guernsey","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Heard Island and McDonald Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Jersey","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Montserrat","No tests reported","Insufficient data","Insufficient data","9.72 %","281.1 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Insufficient data","Strengthen"
"Niue","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Norfolk Island","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Pitcairn Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Saint Helena","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Insufficient data","Insufficient data","Insufficient data"
"Saint Pierre and Miquelon","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Saint-Barthélemy","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"South Georgia and the South Sandwich Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Wallis and Futuna","No tests reported","Insufficient data","Insufficient data","2.25 %","90.1 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Insufficient data","Strengthen"
"Anguilla","No tests reported","Insufficient data","Insufficient data","2.68 %","449.6 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Insufficient data","Strengthen"
"Vatican City","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
"Western Sahara","October 13, 2021","No cases reported","0.03 per 1,000 persons","Insufficient data","Insufficient data",NaN,"Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Insufficient data","Connect"
